QR;ID paquet bosses;ID bossa individual
data/QR/35RSU/placeholder.png;GB035R007975;802A00319998
data/QR/35RSU/placeholder.png;GB035R007975;802A00319997
data/QR/35RSU/placeholder.png;GB035R007975;802A00319996
data/QR/35RSU/placeholder.png;GB035R007959;802A00319995
data/QR/35RSU/placeholder.png;GB035R007959;802A00319994
data/QR/35RSU/placeholder.png;GB035R007959;802A00319993
data/QR/35RSU/placeholder.png;GB035R007959;802A00319992
data/QR/35RSU/placeholder.png;GB035R007710;802A00319979
data/QR/35RSU/placeholder.png;GB035R007708;802A00319978
data/QR/35RSU/placeholder.png;GB035R007990;802A00319950
data/QR/35RSU/placeholder.png;GB035R007990;802A00319949
data/QR/35RSU/placeholder.png;GB035R007990;802A00319948
data/QR/35RSU/placeholder.png;GB035R007990;802A00319947
data/QR/35RSU/placeholder.png;GB035R007990;802A00319946
data/QR/35RSU/placeholder.png;GB035R007990;802A00319945
data/QR/35RSU/placeholder.png;GB035R007990;802A00319944
data/QR/35RSU/placeholder.png;GB035R007990;802A00319943
data/QR/35RSU/placeholder.png;GB035R007990;802A00319942
data/QR/35RSU/placeholder.png;GB035R007990;802A00319941
data/QR/35RSU/placeholder.png;GB035R007990;802A00319940
data/QR/35RSU/placeholder.png;GB035R007990;802A00319939
data/QR/35RSU/placeholder.png;GB035R007990;802A00319938
data/QR/35RSU/placeholder.png;GB035R007990;802A00319937
data/QR/35RSU/placeholder.png;GB035R007990;802A00319936
data/QR/35RSU/placeholder.png;GB035R007990;802A00319935
data/QR/35RSU/placeholder.png;GB035R007990;802A00319934
data/QR/35RSU/placeholder.png;GB035R007990;802A00319933
data/QR/35RSU/placeholder.png;GB035R007990;802A00319932
data/QR/35RSU/placeholder.png;GB035R007990;802A00319931
data/QR/35RSU/placeholder.png;GB035R007988;802A00319930
data/QR/35RSU/placeholder.png;GB035R007988;802A00319929
data/QR/35RSU/placeholder.png;GB035R007988;802A00319928
data/QR/35RSU/placeholder.png;GB035R007988;802A00319927
data/QR/35RSU/placeholder.png;GB035R007988;802A00319926
data/QR/35RSU/placeholder.png;GB035R007988;802A00319925
data/QR/35RSU/placeholder.png;GB035R007988;802A00319924
data/QR/35RSU/placeholder.png;GB035R007988;802A00319923
data/QR/35RSU/placeholder.png;GB035R007988;802A00319922
data/QR/35RSU/placeholder.png;GB035R007988;802A00319921
data/QR/35RSU/placeholder.png;GB035R007988;802A00319920
data/QR/35RSU/placeholder.png;GB035R007988;802A00319919
data/QR/35RSU/placeholder.png;GB035R007988;802A00319918
data/QR/35RSU/placeholder.png;GB035R007988;802A00319917
data/QR/35RSU/placeholder.png;GB035R007988;802A00319916
data/QR/35RSU/placeholder.png;GB035R007988;802A00319915
data/QR/35RSU/placeholder.png;GB035R007988;802A00319914
data/QR/35RSU/placeholder.png;GB035R007988;802A00319913
data/QR/35RSU/placeholder.png;GB035R007988;802A00319912
