QR;ID paquet bosses;ID bossa individual
data/QR/35RSU/placeholder.png;GB035R002818;802A00069999
data/QR/35RSU/placeholder.png;GB035R002818;802A00069998
data/QR/35RSU/placeholder.png;GB035R002818;802A00069997
data/QR/35RSU/placeholder.png;GB035R002818;802A00069996
data/QR/35RSU/placeholder.png;GB035R002818;802A00069995
data/QR/35RSU/placeholder.png;GB035R002816;802A00069994
data/QR/35RSU/placeholder.png;GB035R002816;802A00069993
data/QR/35RSU/placeholder.png;GB035R002816;802A00069992
data/QR/35RSU/placeholder.png;GB035R002816;802A00069991
data/QR/35RSU/placeholder.png;GB035R002816;802A00069990
data/QR/35RSU/placeholder.png;GB035R002816;802A00069989
data/QR/35RSU/placeholder.png;GB035R002816;802A00069988
data/QR/35RSU/placeholder.png;GB035R002816;802A00069987
data/QR/35RSU/placeholder.png;GB035R002816;802A00069986
data/QR/35RSU/placeholder.png;GB035R002816;802A00069985
data/QR/35RSU/placeholder.png;GB035R002816;802A00069984
data/QR/35RSU/placeholder.png;GB035R002816;802A00069983
data/QR/35RSU/placeholder.png;GB035R002816;802A00069982
data/QR/35RSU/placeholder.png;GB035R002816;802A00069981
data/QR/35RSU/placeholder.png;GB035R002816;802A00069980
data/QR/35RSU/placeholder.png;GB035R002816;802A00069979
data/QR/35RSU/placeholder.png;GB035R002816;802A00069978
data/QR/35RSU/placeholder.png;GB035R002816;802A00069977
data/QR/35RSU/placeholder.png;GB035R002816;802A00069976
data/QR/35RSU/placeholder.png;GB035R002816;802A00069975
data/QR/35RSU/placeholder.png;GB035R002814;802A00069974
data/QR/35RSU/placeholder.png;GB035R002814;802A00069973
data/QR/35RSU/placeholder.png;GB035R002814;802A00069972
data/QR/35RSU/placeholder.png;GB035R002814;802A00069971
data/QR/35RSU/placeholder.png;GB035R002814;802A00069970
data/QR/35RSU/placeholder.png;GB035R002814;802A00069969
data/QR/35RSU/placeholder.png;GB035R002814;802A00069968
data/QR/35RSU/placeholder.png;GB035R002814;802A00069967
data/QR/35RSU/placeholder.png;GB035R002814;802A00069966
data/QR/35RSU/placeholder.png;GB035R002814;802A00069965
data/QR/35RSU/placeholder.png;GB035R002814;802A00069964
data/QR/35RSU/placeholder.png;GB035R002814;802A00069963
