QR;ID del paquet de bosses;ID Extern de bossa (individual);Assignat?
./data/QR/35RSU/GB035R004729.png;GB035R004729;802A00149247;No
./data/QR/35RSU/GB035R004729.png;GB035R004729;802A00149248;No
./data/QR/35RSU/GB035R004729.png;GB035R004729;802A00149249;No
./data/QR/35RSU/GB035R004729.png;GB035R004729;802A00149250;No
./data/QR/35RSU/GB035R004729.png;GB035R004729;802A00149251;No
./data/QR/35RSU/GB035R004729.png;GB035R004729;802A00149252;No
./data/QR/35RSU/GB035R004729.png;GB035R004729;802A00149253;No
./data/QR/35RSU/GB035R004729.png;GB035R004729;802A00149254;No
./data/QR/35RSU/GB035R004729.png;GB035R004729;802A00149255;No
./data/QR/35RSU/GB035R004729.png;GB035R004729;802A00149256;No
./data/QR/35RSU/GB035R004729.png;GB035R004729;802A00149257;No
./data/QR/35RSU/GB035R004729.png;GB035R004729;802A00149258;No
./data/QR/35RSU/GB035R004729.png;GB035R004729;802A00149259;No
./data/QR/35RSU/GB035R004730.png;GB035R004730;802A00129240;No
./data/QR/35RSU/GB035R004730.png;GB035R004730;802A00129241;No
./data/QR/35RSU/GB035R004730.png;GB035R004730;802A00129242;No
./data/QR/35RSU/GB035R004730.png;GB035R004730;802A00129243;No
./data/QR/35RSU/GB035R004730.png;GB035R004730;802A00129244;No
./data/QR/35RSU/GB035R004730.png;GB035R004730;802A00129245;No
./data/QR/35RSU/GB035R004730.png;GB035R004730;802A00129246;No
./data/QR/35RSU/GB035R004730.png;GB035R004730;802A00129247;No
./data/QR/35RSU/GB035R004730.png;GB035R004730;802A00129248;No
./data/QR/35RSU/GB035R004730.png;GB035R004730;802A00129249;No
./data/QR/35RSU/GB035R004730.png;GB035R004730;802A00129250;No
./data/QR/35RSU/GB035R004730.png;GB035R004730;802A00129251;No
./data/QR/35RSU/GB035R004730.png;GB035R004730;802A00129252;No
./data/QR/35RSU/GB035R004730.png;GB035R004730;802A00129253;No
./data/QR/35RSU/GB035R004730.png;GB035R004730;802A00129254;No
